Unnamed: 0,Public company,Type,Income,Year
0,844,上半年收入,31.7亿港元,2020
1,845,上半年收入,880万美元,2019
2,846,上半年收入,588.6亿元,2019
3,847,上半年收入,529.3亿元,2019
4,848,上半年收入,618.9亿元,2019
5,849,上半年收入,717.6亿元,2019
6,850,上半年收入,390.0亿元,2019
7,851,上半年收入,70.6亿元,2019
8,852,上半年收入,672.0亿元,2019
9,853,上半年收入,55.2亿港元,2019
10,854,上半年收入,088.8亿元,2019
11,855,上半年收入,1.196万亿元,2019
12,856,上半年收入,484.5亿元,2019
13,857,上半年收入,5.179亿美元,2019
14,858,上半年收入,411.8亿元,2019
15,859,上半年收入,398.6亿元,2019
16,860,上半年收入,653.1亿元,2019
17,861,上半年收入,269.8亿元,2019
18,862,上半年收入,597.5亿港元,2019
19,863,上半年收入,128.2亿港元,2019
20,864,上半年收入,535.4亿元,2019
21,865,上半年收入,949.4亿元,2019
22,866,上半年收入,729.4亿元,2019
23,867,上半年收入,684.8亿元,2019
24,868,上半年收入,560.5亿元,2019
25,869,上半年收入,877.6亿元,2019
26,870,上半年收入,139.4亿元,2019
27,871,上半年收入,53.0亿元,2019
28,872,上半年收入,140.9亿元,2019
29,873,上半年收入,51.5亿港元,2019
30,874,上半年收入,205.1亿元,2019
31,875,上半年收入,305.0亿元,2019
32,876,上半年收入,270.2亿元,2019
33,877,上半年收入,148.1亿元,2019
34,878,上半年收入,019.2亿港元,2019
35,879,上半年收入,385.7亿元,2019
36,880,上半年收入,191.3亿元,2019
37,881,上半年收入,610.3亿元,2019
38,882,上半年收入,163.7亿元,2019
39,883,上半年收入,186.6亿元,2019
40,884,上半年收入,1121.6亿元,2019
41,885,上半年收入,27亿元,2019
42,886,上半年收入,41.1亿港元,2019
43,887,上半年收入,281.7亿港元,2019
44,888,上半年收入,7.4608亿美元,2019
45,889,上半年收入,275.4亿港元,2019
46,890,上半年收入,135.2亿元,2019
47,891,上半年收入,78.9亿港元,2019
48,892,上半年收入,107.8亿元,2019
49,893,上半年收入,933.8亿港元,2019
50,894,上半年收入,020.1亿元,2019
51,895,上半年收入,350.5亿元,2019
52,896,上半年收入,768.4亿元,2019
53,897,上半年收入,592.1亿元,2019
54,898,上半年收入,12亿美元,2019
55,899,上半年收入,81.3亿港元,2019
56,900,上半年收入,135.5亿元,2019
57,901,上半年收入,164.7亿元,2019
58,902,上半年收入,33.6亿元,2019
59,903,上半年收入,271.1亿元,2019
60,904,上半年收入,475.6亿元,2019
61,905,上半年收入,116.9亿元,2019
62,906,上半年收入,393.2亿元,2019
63,907,上半年收入,203.5亿港元,2019
64,908,上半年收入,112.2亿港元,2019
65,909,上半年收入,458.5亿元,2019
66,910,上半年收入,18亿港元,2019
67,911,上半年收入,104.8亿元,2019
68,912,上半年收入,449.5亿元,2019
69,913,上半年收入,262.2亿港元,2019
70,914,上半年收入,174.1亿港元,2019
