,Public company,Type,Income,Year
0,信和置业,上半年收入,31.7亿港元,2020
1,欧陆科仪控股有限公司,上半年收入,880万美元,2019
2,东方航空,上半年收入,588.6亿元,2019
3,中国铁建,上半年收入,529.3亿元,2019
4,中国中铁,上半年收入,618.9亿元,2019
5,中远海控,上半年收入,717.6亿元,2019
6,中国交通建设,上半年收入,390.0亿元,2019
7,中远海能,上半年收入,70.6亿元,2019
8,紫金矿业,上半年收入,672.0亿元,2019
9,中国光大控股,上半年收入,55.2亿港元,2019
10,中国海洋石油,上半年收入,088.8亿元,2019
11,中国石油,上半年收入,1.196万亿元,2019
12,东风汽车集团,上半年收入,484.5亿元,2019
13,中远海运港口,上半年收入,5.179亿美元,2019
14,永辉超市,上半年收入,411.8亿元,2019
15,蒙牛乳业,上半年收入,398.6亿元,2019
16,中国国航,上半年收入,653.1亿元,2019
17,中国恒大,上半年收入,269.8亿元,2019
18,中国粮油控股,上半年收入,597.5亿港元,2019
19,北控水务集团,上半年收入,128.2亿港元,2019
20,昆仑能源,上半年收入,535.4亿元,2019
21,中国铝业,上半年收入,949.4亿元,2019
22,南方航空,上半年收入,729.4亿元,2019
23,复星国际,上半年收入,684.8亿元,2019
24,中国通信服务,上半年收入,560.5亿元,2019
25,北京汽车,上半年收入,877.6亿元,2019
26,中国机械工程,上半年收入,139.4亿元,2019
27,佳源国际控股,上半年收入,53.0亿元,2019
28,复星医药,上半年收入,140.9亿元,2019
29,中油燃气,上半年收入,51.5亿港元,2019
30,中国通号,上半年收入,205.1亿元,2019
31,康师傅控股,上半年收入,305.0亿元,2019
32,龙光地产,上半年收入,270.2亿元,2019
33,安踏体育,上半年收入,148.1亿元,2019
34,华润医药,上半年收入,019.2亿港元,2019
35,龙湖集团,上半年收入,385.7亿元,2019
36,中国太保,上半年收入,191.3亿元,2019
37,中煤能源,上半年收入,610.3亿元,2019
38,中国神华,上半年收入,163.7亿元,2019
39,绿城中国,上半年收入,186.6亿元,2019
40,中国建材,上半年收入,1121.6亿元,2019
41,深圳高速公路股份,上半年收入,27亿元,2019
42,海通国际,上半年收入,41.1亿港元,2019
43,华润燃气,上半年收入,281.7亿港元,2019
44,海丰国际,上半年收入,7.4608亿美元,2019
45,中国建筑国际,上半年收入,275.4亿港元,2019
46,中铝国际,上半年收入,135.2亿元,2019
47,维达国际,上半年收入,78.9亿港元,2019
48,恒安国际,上半年收入,107.8亿元,2019
49,中国海外发展,上半年收入,933.8亿港元,2019
50,碧桂园,上半年收入,020.1亿元,2019
51,富力地产,上半年收入,350.5亿元,2019
52,融创中国,上半年收入,768.4亿元,2019
53,比亚迪股份,上半年收入,592.1亿元,2019
54,香格里拉,上半年收入,12亿美元,2019
55,恒基地产,上半年收入,81.3亿港元,2019
56,中海油田服务,上半年收入,135.5亿元,2019
57,远洋集团,上半年收入,164.7亿元,2019
58,特步国际,上半年收入,33.6亿元,2019
59,雅居乐集团,上半年收入,271.1亿元,2019
60,吉利汽车,上半年收入,475.6亿元,2019
61,海底捞,上半年收入,116.9亿元,2019
62,万科A,上半年收入,393.2亿元,2019
63,香港中华煤气,上半年收入,203.5亿港元,2019
64,嘉里建设,上半年收入,112.2亿港元,2019
65,华润置地,上半年收入,458.5亿元,2019
66,先达国际物流,上半年收入,18亿港元,2019
67,首创置业,上半年收入,104.8亿元,2019
68,中国联通,上半年收入,449.5亿元,2019
69,银河娱乐,上半年收入,262.2亿港元,2019
70,华润水泥控股,上半年收入,174.1亿港元,2019
71,山水水泥,上半年收入,94.4亿元,2019
72,金沙中国,上半年收入,44.7亿美元,2019
73,九龙仓集团,上半年收入,80.6亿港元,2019
74,太古,上半年收入,428.7亿港元,2019
75,中国移动,上半年收入,894.3亿元,2019
76,嘉能可,上半年收入,071亿美元,2019
77,国泰航空,上半年收入,535.5亿港元,2019
78,九龙仓置业,上半年收入,85亿港元,2019
79,中电控股,上半年收入,438.4亿港元,2019
80,汇丰控股,上半年收入,293.7亿美元,2019
82,澳优预计,上半年收入,31.5亿元,2019
83,华为,上半年收入,013亿元,2019
84,英美资源集团,上半年收入,147.7亿美元,2019
87,标致,上半年收入,383亿欧元,2019
88,中国新城镇,上半年收入,700万元,2019
91,天地荟,上半年收入,1160万美元,2018
92,六福集团,上半年收入,79亿港元,2018
93,圣盈信金服集团,上半年收入,1140万美元,2018
94,招商局港口,上半年收入,55.6亿港元,2018
95,融创中国,上半年收入,465.8亿元,2018
96,富力地产,上半年收入,340.9亿元,2018
97,中国石油股份,上半年收入,1.109万亿元,2018
98,中远海能,上半年收入,50.4亿元,2018
99,ConcordMedicalServices,上半年收入,590万美元,2018
100,中国信达,上半年收入,547.7亿元,2018
101,雅居乐集团,上半年收入,242.1亿元,2018
102,中信股份,上半年收入,583.2亿港元,2018
103,江西铜业股份,上半年收入,040.3亿元,2018
104,国美零售,上半年收入,347.1亿元,2018
105,复星国际,上半年收入,435.1亿元,2018
106,中国恒大,上半年收入,003.5亿元,2018
107,中远海运港口,上半年收入,4.955亿美元,2018
108,国药控股,上半年收入,474.9亿元,2018
109,富力地产,上半年收入,340.9亿元,2018
110,中远海运国际,上半年收入,47.9亿港元,2018
111,恒基地产,上半年收入,131.4亿港元,2018
112,中国海洋石油:,上半年收入,056.5亿元,2018
113,361度,上半年收入,30.2亿元,2018
114,中国海外发展,上半年收入,886亿港元,2018
115,小米:,上半年收入,796.5亿元,2018
116,利丰,上半年收入,58.5亿美元,2018
117,瑞声科技,上半年收入,84.2亿元,2018
118,恒安国际,上半年收入,101.4亿港元,2018
119,吉利汽车,上半年收入,537.1亿元,2018
120,恒安国际,上半年收入,101.4亿元,2018
121,建业地产,上半年收入,47.7亿元,2018
122,香港中华煤气,上半年收入,192.4亿港元,2018
123,碧桂园,上半年收入,318.9亿元,2018
124,龙湖集团,上半年收入,271.2亿元,2018
125,华润燃气,上半年收入,238.5亿港元,2018
126,平安好医生,上半年收入,11.2亿元,2018
127,腾讯,上半年收入,472亿元,2018
128,中国联通:,上半年收入,491.1亿元,2018
129,万洲国际,上半年收入,111.7亿美元,2018
130,会德丰,上半年收入,175.8亿港元,2018
131,安踏体育,上半年收入,105.5亿元,2018
132,李宁,上半年收入,47.1亿元,2018
133,WeWork向软银发债融资10亿美元，今年,上半年收入,10亿美元,2018
134,港铁公司,上半年收入,263.7亿港元,2018
135,九龙仓集团,上半年收入,78.2亿港元,2018
136,九龙仓集团,上半年收入,78.2亿港元,2018
137,太古股份公司A,上半年收入,422.7亿港元,2018
138,嘉能可,上半年收入,086亿美元,2018
139,香港交易所,上半年收入,81.9亿港元,2018
140,港灯,上半年收入,54.6亿港元,2018
141,希慎兴业,上半年收入,19.1亿港元,2018
142,汇丰控股,上半年收入,273亿美元,2018
143,俄铝,上半年收入,50亿美元,2018
144,奥迪,上半年收入,311.8亿欧元,2018
145,长江和记实业,上半年收入,245.1亿港元,2018
146,长实集团,上半年收入,241.2亿港元,2018
147,理文造纸,上半年收入,163.7亿港元,2018
148,长江基建,上半年收入,194.5亿港元,2018
149,电能实业,上半年收入,7.69亿港元,2018
150,周大福,上半年收入,247.5亿港元,2017
151,普拉达,上半年收入,14.7亿欧元,2017
152,招商局港口,上半年收入,40.6亿港元,2017
153,银河娱乐,上半年收入,285.4亿港元,2017
154,中联重科,上半年收入,101.3亿元,2017
155,华电国际电力股份,上半年收入,364.2亿元,2017
156,复星国际,上半年收入,362.7亿元,2017
157,中国交通建设2017年,上半年收入,892.8亿元,2017
158,中远海能,上半年收入,49.1亿元,2017
