,content,date
0,CFRA将捷普科技目标价从47.00美元下调至29.00美元,2020-03-14
1,德银将Ralph Lauren目标价从141.00美元下调至92.00美元,2020-03-14
2,德银将Foot Locker目标价从55.00美元下调至36.00美元,2020-03-14
3,德银将Tapestry目标价从33.00美元下调至20.00美元,2020-03-14
4,德银将Capri Holdings目标价从60.00美元下调至24.00美元,2020-03-14
5,Canaccord Genuity将Senseonics Holdings目标价从1.00美元下调至0.75美元,2020-03-14
6,CFRA将盖璞目标价从14.00美元下调至8.00美元,2020-03-14
7,CFRA将Edwards Lifesciences目标价从207.00美元下调至201.00美元,2020-03-13
8,摩根士丹利将WisdomTree Investments目标价从6.00美元下调至5.50美元,2020-03-13
9,摩根士丹利将Waddell&Reed目标价从15.00美元下调至11.00美元,2020-03-13
10,摩根士丹利将Virtus Invest Partners目标价从132.00美元下调至105.00美元,2020-03-13
11,摩根士丹利将Virtu Financial目标价从17.00美元上调至26.00美元,2020-03-13
12,摩根士丹利将Victory Capital目标价从23.00美元下调至21.00美元,2020-03-13
13,摩根士丹利将黑石集团目标价从76.00美元下调至71.00美元,2020-03-13
14,摩根士丹利将德美利证券目标价从52.00美元下调至36.00美元,2020-03-13
15,摩根士丹利将普信目标价从142.00美元下调至121.00美元,2020-03-13
16,摩根士丹利将LPL Financial Holdings目标价从97.00美元下调至67.00美元,2020-03-13
17,摩根士丹利将KKR&Co.目标价从34.00美元下调至30.00美元,2020-03-13
18,摩根士丹利将Rubius Therapeutics目标价从15.00美元下调至4.00美元,2020-03-13
19,摩根士丹利将DocuSign目标价从76.00美元上调至77.00美元,2020-03-13
20,摩根士丹利将嘉信理财集团目标价从64.00美元下调至44.00美元,2020-03-13
21,摩根士丹利将凯雷投资集团目标价从32.00美元下调至27.00美元,2020-03-13
22,摩根士丹利将博通目标价从361.00美元下调至340.00美元,2020-03-13
23,摩根士丹利将BrightSphere Investment目标价从11.00美元下调至8.00美元,2020-03-13
24,野村证券将Arista Networks目标价从190.00美元下调至180.00美元,2020-03-13
