Unnamed: 0,Finance company,Public company,Before,Operation,After,Date
0,2,3456,47.00美元,下调,29.00美元,2020-03-14
1,0,0,141.00美元,下调,92.00美元,2020-03-14
2,0,1,55.00美元,下调,36.00美元,2020-03-14
3,0,2,33.00美元,下调,20.00美元,2020-03-14
4,0,3,60.00美元,下调,24.00美元,2020-03-14
5,1,4,1.00美元,下调,0.75美元,2020-03-14
6,2,5,14.00美元,下调,8.00美元,2020-03-14
7,2,7,207.00美元,下调,201.00美元,2020-03-13
8,3,8,6.00美元,下调,5.50美元,2020-03-13
9,3,9,15.00美元,下调,11.00美元,2020-03-13
10,3,10,132.00美元,下调,105.00美元,2020-03-13
11,3,741,17.00美元,上调,26.00美元,2020-03-13
12,3,11,23.00美元,下调,21.00美元,2020-03-13
13,3,12,76.00美元,下调,71.00美元,2020-03-13
14,3,13,52.00美元,下调,36.00美元,2020-03-13
15,3,670,142.00美元,下调,121.00美元,2020-03-13
16,3,14,97.00美元,下调,67.00美元,2020-03-13
17,3,15,34.00美元,下调,30.00美元,2020-03-13
18,3,16,15.00美元,下调,4.00美元,2020-03-13
19,3,17,76.00美元,上调,77.00美元,2020-03-13
20,3,18,64.00美元,下调,44.00美元,2020-03-13
21,3,19,32.00美元,下调,27.00美元,2020-03-13
22,3,20,361.00美元,下调,340.00美元,2020-03-13
23,3,21,11.00美元,下调,8.00美元,2020-03-13
24,4,22,190.00美元,下调,180.00美元,2020-03-13
25,4,23,230.00美元,下调,225.00美元,2020-03-13
26,5,24,22.00美元,下调,20.00美元,2020-03-13
27,5,25,33.00美元,定为,33.00美元,2020-03-13
28,3,26,621.00美元,下调,582.00美元,2020-03-13
29,3,27,38.00美元,下调,35.00美元,2020-03-13
30,3,28,53.00美元,下调,44.00美元,2020-03-13
31,6,29,38.00美元,定为,38.00美元,2020-03-13
32,15,9604,36.00美元,下调,19.00美元,2020-03-13
33,7,31,35.00美元,下调,23.00美元,2020-03-13
34,7,30,31.00美元,下调,24.00美元,2020-03-13
35,7,23,315.00美元,下调,265.00美元,2020-03-13
36,7,32,5.00美元,定为,5.00美元,2020-03-13
37,7,33,233.00美元,下调,185.00美元,2020-03-13
38,7,5,17.00美元,下调,13.00美元,2020-03-13
39,2,34,53.00美元,下调,40.00美元,2020-03-13
40,7,35,52.00美元,下调,26.00美元,2020-03-13
41,7,36,30.00美元,上调,32.00美元,2020-03-13
42,7,37,185.00美元,下调,157.00美元,2020-03-13
43,7,20,400.00美元,下调,300.00美元,2020-03-13
44,8,38,160.00美元,下调,130.00美元,2020-03-13
45,8,39,96.00美元,下调,60.00美元,2020-03-13
46,9,40,26.00美元,下调,13.00美元,2020-03-13
47,9,23,230.00美元,下调,220.00美元,2020-03-13
48,9,41,41.00美元,下调,27.00美元,2020-03-13
49,9,42,82.00美元,下调,56.00美元,2020-03-13
50,9,43,51.00美元,下调,35.00美元,2020-03-13
51,9,44,75.00美元,下调,55.00美元,2020-03-13
52,9,46,305.00美元,下调,275.00美元,2020-03-13
53,9,47,350.00美元,下调,325.00美元,2020-03-13
54,10,5,19.00美元,下调,11.00美元,2020-03-13
55,10,30,28.00美元,下调,27.00美元,2020-03-13
56,11,48,50.00美元,下调,28.00美元,2020-03-13
57,11,23,300.00美元,下调,270.00美元,2020-03-13
58,11,49,330.00美元,下调,298.00美元,2020-03-13
59,11,50,57.00美元,下调,44.00美元,2020-03-13
60,11,51,17.00美元,下调,9.00美元,2020-03-13
61,2,23,340.00美元,下调,240.00美元,2020-03-13
62,12,50,65.00美元,下调,55.00美元,2020-03-13
63,11,53,25.00美元,下调,18.00美元,2020-03-13
64,12,55,45.00美元,下调,32.50美元,2020-03-13
65,11,56,60.00美元,下调,37.00美元,2020-03-13
66,12,57,30.00美元,下调,18.00美元,2020-03-13
67,11,58,150.00美元,下调,100.00美元,2020-03-13
68,11,59,60.00美元,下调,30.00美元,2020-03-13
69,11,60,62.00美元,下调,37.00美元,2020-03-13
70,11,61,55.00美元,下调,38.00美元,2020-03-13
71,11,20,360.00美元,下调,325.00美元,2020-03-13
72,13,50,62.00美元,下调,57.00美元,2020-03-13
73,11,62,75.00美元,下调,40.00美元,2020-03-13
74,11,47,430.00美元,下调,344.00美元,2020-03-13
75,11,63,107.00美元,下调,41.00美元,2020-03-13
76,13,38,163.00美元,下调,150.00美元,2020-03-13
77,13,64,55.00美元,下调,51.00美元,2020-03-13
78,11,65,25.00美元,下调,12.00美元,2020-03-13
79,13,5,14.00美元,下调,11.00美元,2020-03-13
80,13,47,385.00美元,下调,370.00美元,2020-03-13
81,14,66,295.00美元,下调,249.00美元,2020-03-13
82,14,67,73.00美元,上调,78.00美元,2020-03-13
83,13,30,27.00美元,下调,21.00美元,2020-03-13
84,14,68,11.00美元,下调,8.00美元,2020-03-13
85,15,16,40.00美元,下调,28.00美元,2020-03-13
86,16,69,85.00美元,下调,75.00美元,2020-03-13
87,16,70,160.00美元,下调,135.00美元,2020-03-13
88,0,71,120.00美元,下调,80.00美元,2020-03-13
89,16,23,242.00美元,下调,205.00美元,2020-03-13
90,16,72,123.00美元,下调,93.00美元,2020-03-13
91,16,73,45.00美元,下调,39.00美元,2020-03-13
92,16,33,185.00美元,下调,145.00美元,2020-03-13
93,16,74,110.00美元,下调,85.00美元,2020-03-13
94,109,600,45.00美元,上调,52.50美元,2020-03-13
95,16,75,46.00美元,下调,20.00美元,2020-03-13
96,16,457,14.00美元,下调,8.00美元,2020-03-13
97,16,76,50.00美元,下调,36.00美元,2020-03-13
98,16,77,190.00美元,下调,165.00美元,2020-03-13
99,16,60,64.00美元,下调,57.00美元,2020-03-13
100,16,78,40.00美元,下调,18.00美元,2020-03-13
101,16,79,180.00美元,下调,160.00美元,2020-03-13
102,16,80,40.00美元,下调,11.00美元,2020-03-13
103,16,37,150.00美元,下调,130.00美元,2020-03-13
104,16,26,600.00美元,下调,510.00美元,2020-03-13
105,16,81,33.00美元,下调,26.00美元,2020-03-13
106,16,20,378.00美元,下调,340.00美元,2020-03-13
107,16,83,23.00美元,下调,9.00美元,2020-03-13
108,16,84,40.00美元,下调,24.50美元,2020-03-13
109,16,85,87.50美元,下调,68.00美元,2020-03-13
110,16,86,48.00美元,下调,42.00美元,2020-03-13
111,16,47,329.00美元,下调,293.00美元,2020-03-13
112,18,47,315.00美元,上调,325.00美元,2020-03-13
113,12,87,67.00美元,下调,43.00美元,2020-03-13
114,12,88,50.00美元,下调,26.00美元,2020-03-13
115,19,31,38.00美元,下调,33.00美元,2020-03-13
116,12,23,250.00美元,下调,230.00美元,2020-03-13
117,19,89,25.00美元,下调,19.00美元,2020-03-13
118,12,90,130.00美元,下调,78.00美元,2020-03-13
119,19,91,5.00美元,下调,2.50美元,2020-03-13
120,12,33,230.00美元,下调,180.00美元,2020-03-13
121,19,92,13.50美元,下调,9.50美元,2020-03-13
122,12,93,114.00美元,下调,71.00美元,2020-03-13
123,19,94,17.00美元,下调,10.00美元,2020-03-13
124,12,95,116.00美元,下调,85.00美元,2020-03-13
125,19,96,60.00美元,下调,50.00美元,2020-03-13
126,12,47,345.00美元,下调,315.00美元,2020-03-13
127,19,97,8.50美元,下调,6.25美元,2020-03-13
128,12,98,5.00美元,下调,0.50美元,2020-03-13
129,12,99,8.00美元,下调,2.00美元,2020-03-13
130,19,100,30.00美元,下调,10.00美元,2020-03-13
131,12,101,2.25美元,下调,1.00美元,2020-03-13
132,19,102,22.00美元,下调,11.00美元,2020-03-13
133,19,5,18.00美元,下调,16.00美元,2020-03-13
134,12,103,1.50美元,下调,0.20美元,2020-03-13
135,12,104,8.00美元,下调,0.50美元,2020-03-13
136,12,105,2.50美元,下调,0.50美元,2020-03-13
137,19,106,7.00美元,下调,6.00美元,2020-03-13
138,19,107,9.00美元,下调,6.00美元,2020-03-13
139,12,108,5.00美元,下调,1.00美元,2020-03-13
140,19,109,83.00美元,下调,57.00美元,2020-03-13
141,19,110,11.00美元,下调,7.00美元,2020-03-13
142,20,50,61.00美元,下调,56.00美元,2020-03-13
143,20,111,50.00美元,下调,43.00美元,2020-03-13
144,20,112,185.00美元,下调,165.00美元,2020-03-13
145,20,113,95.00美元,下调,87.00美元,2020-03-13
146,20,114,40.00美元,下调,17.00美元,2020-03-13
147,20,115,33.00美元,下调,29.00美元,2020-03-13
148,15,116,6.00美元,下调,4.50美元,2020-03-13
149,21,117,2.00美元,上调,5.00美元,2020-03-13
150,17,119,19.00美元,下调,12.00美元,2020-03-13
151,22,38,180.00美元,下调,140.00美元,2020-03-13
152,22,20,370.00美元,下调,350.00美元,2020-03-13
153,7,120,109.00美元,下调,76.00美元,2020-03-13
154,17,122,11.00美元,下调,8.00美元,2020-03-13
155,17,72,115.00美元,下调,100.00美元,2020-03-13
156,0,123,15.00美元,定为,15.00美元,2020-03-13
157,7,124,38.00美元,上调,40.00美元,2020-03-13
158,25,126,2.50美元,下调,1.50美元,2020-03-13
159,25,127,7.00美元,下调,3.00美元,2020-03-13
160,26,128,96.00美元,定为,96.00美元,2020-03-13
161,27,131,27.00美元,上调,28.00美元,2020-03-13
162,26,132,9.00美元,上调,13.00美元,2020-03-13
163,26,133,12.00美元,定为,12.00美元,2020-03-13
164,28,47,325.00美元,定为,325.00美元,2020-03-13
165,26,20,360.00美元,下调,240.00美元,2020-03-13
166,28,134,66.00美元,定为,66.00美元,2020-03-13
167,26,135,93.00美元,定为,93.00美元,2020-03-13
168,20,136,63.00美元,定为,63.00美元,2020-03-13
169,20,137,371.00美元,定为,371.00美元,2020-03-13
170,29,138,8.00美元,定为,8.00美元,2020-03-13
171,12,139,315.00美元,定为,315.00美元,2020-03-13
172,27,772,52.00美元,下调,43.00美元,2020-03-13
173,27,140,48.00美元,下调,38.00美元,2020-03-13
174,30,9605,9.00美元,定为,9.00美元,2020-03-13
175,31,9606,12.00美元,定为,12.00美元,2020-03-13
176,27,144,115.00美元,定为,115.00美元,2020-03-13
177,27,9607,12.00美元,定为,12.00美元,2020-03-13
178,27,147,24.00美元,定为,24.00美元,2020-03-13
179,27,148,47.00美元,定为,47.00美元,2020-03-13
180,45,5457,100港元,下调,92港元,2020-03-13
181,54,4241,68.00美元,下调,63.10美元,2020-03-13
182,45,6152,2.43港元,下调,2.13港元,2020-03-13
183,108,4241,70美元,下调,53美元,2020-03-13
184,32,149,,上调,人民币132元,2020-03-13
185,32,7036,40.90港元,下调,40.10港元,2020-03-13
186,16,5653,29.30港元,下调,27.80港元,2020-03-13
187,47,6066,1.67港元,下调,1.36港元,2020-03-13
188,32,9608,5.00港元,下调,4.60港元,2020-03-13
189,32,250,8.90港元,下调,7.80港元,2020-03-13
190,2,151,45.00美元,下调,30.00美元,2020-03-13
191,33,4241,62.00美元,下调,59.00美元,2020-03-13
192,1,153,340.00美元,下调,225.00美元,2020-03-12
193,13,154,18.00美元,下调,14.00美元,2020-03-12
194,13,1338,5.50美元,下调,4.25美元,2020-03-12
195,5,155,50.00美元,定为,50.00美元,2020-03-12
196,5,100,49.00美元,下调,36.00美元,2020-03-12
197,5,156,28.00美元,下调,19.00美元,2020-03-12
198,0,157,41.00美元,下调,38.00美元,2020-03-12
199,0,158,215.00美元,下调,205.00美元,2020-03-12
200,0,159,110.00美元,下调,101.00美元,2020-03-12
201,0,160,182.00美元,下调,181.00美元,2020-03-12
202,0,162,178.00美元,下调,177.00美元,2020-03-12
203,0,163,90.00美元,下调,71.00美元,2020-03-12
204,0,164,65.00美元,下调,50.00美元,2020-03-12
205,0,165,10.00美元,下调,7.00美元,2020-03-12
206,0,166,145.00美元,下调,143.00美元,2020-03-12
207,17,167,4.25美元,下调,4.00美元,2020-03-12
208,33,168,108.00美元,定为,108.00美元,2020-03-12
209,30,226,124.00美元,下调,88.00美元,2020-03-12
210,33,169,24.00美元,下调,15.00美元,2020-03-12
211,8,172,112.00美元,定为,112.00美元,2020-03-12
212,8,173,16.00美元,定为,16.00美元,2020-03-12
213,3,174,70.00美元,下调,64.00美元,2020-03-12
214,3,175,87.00美元,下调,74.00美元,2020-03-12
215,3,176,64.00美元,下调,59.00美元,2020-03-12
216,8,177,430.00美元,上调,540.00美元,2020-03-12
217,3,129,171.00美元,下调,154.00美元,2020-03-12
218,3,49,337.00美元,下调,319.00美元,2020-03-12
