,Finance company,Public company,Before,Operation,After,Date
0,CFRA,捷普科技,47.00美元,下调,29.00美元,2020-03-14
1,德银,RalphLauren,141.00美元,下调,92.00美元,2020-03-14
2,德银,FootLocker,55.00美元,下调,36.00美元,2020-03-14
3,德银,Tapestry,33.00美元,下调,20.00美元,2020-03-14
4,德银,CapriHoldings,60.00美元,下调,24.00美元,2020-03-14
5,CanaccordGenuity,SenseonicsHoldings,1.00美元,下调,0.75美元,2020-03-14
6,CFRA,盖璞,14.00美元,下调,8.00美元,2020-03-14
7,CFRA,EdwardsLifesciences,207.00美元,下调,201.00美元,2020-03-13
8,摩根士丹利,WisdomTreeInvestments,6.00美元,下调,5.50美元,2020-03-13
9,摩根士丹利,Waddell&Reed,15.00美元,下调,11.00美元,2020-03-13
10,摩根士丹利,VirtusInvestPartners,132.00美元,下调,105.00美元,2020-03-13
11,摩根士丹利,VirtuFinancial,17.00美元,上调,26.00美元,2020-03-13
12,摩根士丹利,VictoryCapital,23.00美元,下调,21.00美元,2020-03-13
13,摩根士丹利,黑石集团,76.00美元,下调,71.00美元,2020-03-13
14,摩根士丹利,德美利证券,52.00美元,下调,36.00美元,2020-03-13
15,摩根士丹利,普信,142.00美元,下调,121.00美元,2020-03-13
16,摩根士丹利,LPLFinancialHoldings,97.00美元,下调,67.00美元,2020-03-13
17,摩根士丹利,KKR&Co.,34.00美元,下调,30.00美元,2020-03-13
18,摩根士丹利,RubiusTherapeutics,15.00美元,下调,4.00美元,2020-03-13
19,摩根士丹利,DocuSign,76.00美元,上调,77.00美元,2020-03-13
20,摩根士丹利,嘉信理财集团,64.00美元,下调,44.00美元,2020-03-13
21,摩根士丹利,凯雷投资集团,32.00美元,下调,27.00美元,2020-03-13
22,摩根士丹利,博通,361.00美元,下调,340.00美元,2020-03-13
23,摩根士丹利,BrightSphereInvestment,11.00美元,下调,8.00美元,2020-03-13
24,野村证券,AristaNetworks,190.00美元,下调,180.00美元,2020-03-13
25,野村证券,UltaBeauty,230.00美元,下调,225.00美元,2020-03-13
26,Sidoti&Co.,SpartanMotors,22.00美元,下调,20.00美元,2020-03-13
27,Sidoti&Co.,ParTechnology,33.00美元,定为,33.00美元,2020-03-13
28,摩根士丹利,贝莱德,621.00美元,下调,582.00美元,2020-03-13
29,摩根士丹利,AresManagement,38.00美元,下调,35.00美元,2020-03-13
30,摩根士丹利,ApolloGlobalManagement,53.00美元,下调,44.00美元,2020-03-13
31,Stephens&Co.,RE/MAXHoldings,38.00美元,定为,38.00美元,2020-03-13
32,H.C.Wainwright,Celcuity,36.00美元,下调,19.00美元,2020-03-13
33,贝雅,Zumiez,35.00美元,下调,23.00美元,2020-03-13
34,贝雅,SlackTechnologies,31.00美元,下调,24.00美元,2020-03-13
35,贝雅,UltaBeauty,315.00美元,下调,265.00美元,2020-03-13
36,贝雅,PierisPharmaceuticals,5.00美元,定为,5.00美元,2020-03-13
37,贝雅,派克汉尼汾公司,233.00美元,下调,185.00美元,2020-03-13
38,贝雅,盖璞,17.00美元,下调,13.00美元,2020-03-13
39,CFRA,Semtech,53.00美元,下调,40.00美元,2020-03-13
40,贝雅,Genesco,52.00美元,下调,26.00美元,2020-03-13
41,贝雅,HomologyMedicines,30.00美元,上调,32.00美元,2020-03-13
42,贝雅,卡特彼勒公司,185.00美元,下调,157.00美元,2020-03-13
43,贝雅,博通,400.00美元,下调,300.00美元,2020-03-13
44,ArgusResearch,华特迪士尼公司,160.00美元,下调,130.00美元,2020-03-13
45,ArgusResearch,Wayfair,96.00美元,下调,60.00美元,2020-03-13
46,Stifel,WesternMidstreamPtrs,26.00美元,下调,13.00美元,2020-03-13
47,Stifel,UltaBeauty,230.00美元,下调,220.00美元,2020-03-13
48,Stifel,TargaResources,41.00美元,下调,27.00美元,2020-03-13
49,Stifel,Oneok,82.00美元,下调,56.00美元,2020-03-13
50,Stifel,MonarchCasino,51.00美元,下调,35.00美元,2020-03-13
51,Stifel,EPRProperties,75.00美元,下调,55.00美元,2020-03-13
52,Stifel,AlignTechnology,305.00美元,下调,275.00美元,2020-03-13
53,Stifel,Adobe,350.00美元,下调,325.00美元,2020-03-13
54,MKMPartners,盖璞,19.00美元,下调,11.00美元,2020-03-13
55,MKMPartners,SlackTechnologies,28.00美元,下调,27.00美元,2020-03-13
56,瑞银,WestlakeChemical,50.00美元,下调,28.00美元,2020-03-13
57,瑞银,UltaBeauty,300.00美元,下调,270.00美元,2020-03-13
58,瑞银,标普全球,330.00美元,下调,298.00美元,2020-03-13
59,瑞银,甲骨文公司,57.00美元,下调,44.00美元,2020-03-13
60,瑞银,OlinCorp,17.00美元,下调,9.00美元,2020-03-13
61,CFRA,UltaBeauty,340.00美元,下调,240.00美元,2020-03-13
62,富国银行,甲骨文公司,65.00美元,下调,55.00美元,2020-03-13
63,瑞银,美盛公司,25.00美元,下调,18.00美元,2020-03-13
64,富国银行,Medallia,45.00美元,下调,32.50美元,2020-03-13
65,瑞银,美国西南航空,60.00美元,下调,37.00美元,2020-03-13
