,Public company
0,RalphLauren
1,FootLocker
2,Tapestry
3,CapriHoldings
4,SenseonicsHoldings
5,盖璞
6,安进公司
7,EdwardsLifesciences
8,WisdomTreeInvestments
9,Waddell&Reed
10,VirtusInvestPartners
11,VictoryCapital
12,黑石集团
13,德美利证券
14,LPLFinancialHoldings
15,KKR&Co.
16,RubiusTherapeutics
17,DocuSign
18,嘉信理财集团
19,凯雷投资集团
20,博通
21,BrightSphereInvestment
22,AristaNetworks
23,UltaBeauty
24,SpartanMotors
25,ParTechnology
26,贝莱德
27,AresManagement
28,ApolloGlobalManagement
29,RE/MAXHoldings
30,SlackTechnologies
31,Zumiez
32,PierisPharmaceuticals
33,派克汉尼汾公司
34,Semtech
35,Genesco
36,HomologyMedicines
37,卡特彼勒公司
38,华特迪士尼公司
39,Wayfair
40,WesternMidstreamPtrs
41,TargaResources
42,Oneok
43,MonarchCasino
44,EPRProperties
45,DentsplySirona
46,AlignTechnology
47,Adobe
48,WestlakeChemical
49,标普全球
50,甲骨文公司
51,OlinCorp
52,MSCI明晟
53,美盛公司
54,Methanex
55,Medallia
56,美国西南航空
57,KezarLifeSciences
58,ExpediaGroup
59,陶氏化学公司
60,达美航空公司
61,CFIndustries
62,AlaskaAirGroup
63,美国联合大陆控股有限公司
64,康卡斯特
65,JetBlue
66,Ansys
67,BiohavenPharma
68,CorvusPharmaceuticals
69,Oshkosh
70,UnitedRentals
71,耐克公司
72,SiliconLaboratories
73,SpiritAirlines
74,北美信托银行
75,Helmerich&Payne
76,EatonVance
77,迪尔公司
78,CVREnergy
79,Cummins
80,CoreLabs
81,贝克休斯
82,Zuora
83,Apergy
84,ArtisanPartnersAsset
85,AffiliatedManagers
86,AllisonTransmission
87,MarathonPetroleum
88,HollyFrontier
89,X4Pharmaceuticals
90,Phillips66
91,ViewRay
92,Tilly's
93,ValeroEnergy
94,SelectInteriorConcepts
95,DardenRestaurants
96,QADInc
97,PowerFleet
98,Valaris
99,Transocean
100,Park-OhioHoldings
101,TetraTechnologies
102,MediciNova
103,NobleCorp
104,九城集团
105,NCSMultistage
106,FarmlandPartners
107,FortressBiotech
108,DiamondOffshore
109,ArrowheadPharmaceuticals
110,AllenaPharmaceuticals
111,FocusFinancialPartners
112,DollarGeneral
113,Envestnet
114,BellicumPharmaceuticals
115,AssetMarkFinancial
116,Tecogen
117,CymaBayTherapeutics
118,FuelTech
119,Lizhi
120,TransUnion
121,WorldWrestling
122,AsureSoftware
123,VivintSmartHome
124,Fastenal
125,思杰系统公司
126,NorthernOil
127,EarthstoneEnergy
128,WECEnergyGroup
129,SempraEnergy
130,OtterTail
131,卡夫亨氏公司
132,触宝
133,CenterPointEnergy
134,DolbyLaboratories
135,美国电力公司
136,NextEraEnergyPartners
137,MarketAxess
138,InovioPharma
139,苹果公司
140,USBancorp
141,VirBiotechnology
142,Amcor初始
143,IDEAYABiosciences初始
144,WasteManagement
145,VertivHoldings初始
146,和黄中国医药科技有限公司初始
147,Valvoline
148,金宝汤
149,宁德时代
150,保利协鑫能源
151,USFoodsHolding
152,ConagraBrands
153,波音公司
154,EntasisTherapeutics
155,DouglasDynamics
156,InsteelIndustries
157,WernerEnterprises
158,UnionPacific
159,Saia
160,OldDominionFreight
161,NorfolkSouthern
162,KansasCitySouthern
163,CSXCorp
164,杜邦公司
165,UnitedNaturalFoods
166,百事公司
167,Lantronix
168,美国运通公司
169,FoundationBuildingMatls
170,NVRInc
171,Tellurian
172,思佳讯
173,Snap
174,XcelEnergy
175,SpireInc
176,SouthernCo
177,RegeneronPharma
178,美高梅国际酒店集团
179,ShellMidstreamPartners
180,PSE&G
181,Workday
182,CheniereEnergyPartners
183,Weingarten
184,PinnacleWestCapital
185,NexTierOilfield
186,NextEraEnergy
187,Moody's
188,JonesLangLasalle
189,RymanHospitality
190,RLJLodgingTrust
191,Entergy
192,EdisonInternational
193,杜克能源
194,DTEEnergy
195,DominionEnergy
196,ConsolidatedEdison
197,CMSEnergy
198,AtmosEnergy
199,ArcturusTherapeutics
200,Ameren
201,爱依斯公司
202,PhysiciansRealtyTrust
