,content,date
0,德银将Ralph Lauren评级从买进下调至持有,2020-03-14
1,德银将Foot Locker评级从买进下调至持有,2020-03-14
2,德银将Tapestry评级从买进下调至持有,2020-03-14
3,德银将Capri Holdings评级从买进下调至持有,2020-03-14
4,Canaccord Genuity将Senseonics Holdings评级维持在持有,2020-03-14
5,CFRA将盖璞评级维持在卖出,2020-03-14
6,CFRA将安进公司评级从持有上调至买进,2020-03-14
7,CFRA将Edwards Lifesciences评级从卖出上调至持有,2020-03-13
8,摩根士丹利将WisdomTree Investments评级维持在增持,2020-03-13
9,摩根士丹利将Waddell&Reed评级维持在减持,2020-03-13
10,摩根士丹利将Virtus Invest Partners评级维持在中性,2020-03-13
11,摩根士丹利将Victory Capital评级维持在中性,2020-03-13
12,摩根士丹利将黑石集团评级维持在增持,2020-03-13
13,摩根士丹利将德美利证券评级维持在中性,2020-03-13
14,摩根士丹利将LPL Financial Holdings评级维持在中性,2020-03-13
15,摩根士丹利将KKR&Co.评级维持在中性,2020-03-13
16,摩根士丹利将Rubius Therapeutics评级从增持下调至中性,2020-03-13
17,摩根士丹利将DocuSign评级维持在中性,2020-03-13
18,摩根士丹利将嘉信理财集团评级维持在增持,2020-03-13
19,摩根士丹利将凯雷投资集团评级维持在中性,2020-03-13
20,摩根士丹利将博通评级维持在增持,2020-03-13
21,摩根士丹利将BrightSphere Investment评级维持在中性,2020-03-13
22,野村证券将Arista Networks评级维持在中性,2020-03-13
23,野村证券将Ulta Beauty评级维持在中性,2020-03-13
24,Sidoti&Co.将Spartan Motors评级维持在买进,2020-03-13
25,Sidoti&Co.将Par Technology评级从中性上调至买进,2020-03-13
26,摩根士丹利将贝莱德评级维持在增持,2020-03-13
27,摩根士丹利将Ares Management评级维持在中性,2020-03-13
28,摩根士丹利将Apollo Global Management评级维持在中性,2020-03-13
29,Stephens&Co.将RE/MAX Holdings评级从中性上调至增持,2020-03-13
30,贝雅将Slack Technologies评级维持在强于大盘,2020-03-13
31,贝雅将Zumiez评级维持在中性,2020-03-13
32,贝雅将Ulta Beauty评级维持在强于大盘,2020-03-13
33,贝雅将Pieris Pharmaceuticals评级从中性上调至强于大盘,2020-03-13
34,贝雅将派克汉尼汾公司评级维持在强于大盘,2020-03-13
35,贝雅将盖璞评级维持在中性,2020-03-13
36,CFRA将Semtech评级维持在买进,2020-03-13
37,贝雅将Genesco评级维持在中性,2020-03-13
38,贝雅将Homology Medicines评级维持在强于大盘,2020-03-13
39,贝雅将卡特彼勒公司评级维持在强于大盘,2020-03-13
40,贝雅将博通评级维持在强于大盘,2020-03-13
41,Argus Research将华特迪士尼公司评级维持在买进,2020-03-13
42,Argus Research将Wayfair评级维持在买进,2020-03-13
43,Stifel将Western Midstream Ptrs评级维持在买进,2020-03-13
44,Stifel将Ulta Beauty评级维持在持有,2020-03-13
45,Stifel将Targa Resources评级维持在持有,2020-03-13
46,Stifel将Oneok评级维持在买进,2020-03-13
47,Stifel将Monarch Casino评级维持在持有,2020-03-13
48,Stifel将EPR Properties评级维持在持有,2020-03-13
49,Stifel将Dentsply Sirona评级维持在买进,2020-03-13
50,Stifel将Align Technology评级维持在买进,2020-03-13
51,Stifel将Adobe评级维持在买进,2020-03-13
52,MKM Partners将Slack Technologies评级维持在买进,2020-03-13
53,MKM Partners将盖璞评级维持在中性,2020-03-13
54,瑞银将Westlake Chemical评级维持在卖出,2020-03-13
55,瑞银将Ulta Beauty评级维持在买进,2020-03-13
56,瑞银将标普全球评级维持在买进,2020-03-13
57,瑞银将甲骨文公司评级维持在中性,2020-03-13
58,瑞银将Olin Corp评级维持在中性,2020-03-13
59,CFRA将Ulta Beauty评级维持在买进,2020-03-13
60,瑞银将MSCI明晟评级维持在中性,2020-03-13
61,富国银行将甲骨文公司评级维持在增持,2020-03-13
62,瑞银将美盛公司评级维持在买进,2020-03-13
63,瑞银将Methanex评级维持在卖出,2020-03-13
64,富国银行将Slack Technologies评级维持在增持,2020-03-13
65,富国银行将Medallia评级维持在增持,2020-03-13
66,瑞银将美国西南航空评级维持在中性,2020-03-13
67,富国银行将Kezar Life Sciences评级维持在增持,2020-03-13
68,瑞银将Expedia Group评级维持在买进,2020-03-13
69,瑞银将陶氏化学公司评级维持在买进,2020-03-13
70,瑞银将达美航空公司评级维持在中性,2020-03-13
71,瑞银将CF Industries评级维持在买进,2020-03-13
72,瑞银将博通评级维持在买进,2020-03-13
73,瑞士信贷将甲骨文公司评级维持在强于大盘,2020-03-13
74,瑞银将Alaska Air Group评级维持在中性,2020-03-13
75,瑞银将Adobe评级维持在买进,2020-03-13
76,瑞银将美国联合大陆控股有限公司评级从买进下调至中性,2020-03-13
77,瑞士信贷将华特迪士尼公司评级维持在强于大盘,2020-03-13
78,瑞士信贷将康卡斯特评级维持在强于大盘,2020-03-13
79,瑞银将JetBlue评级从买进下调至中性,2020-03-13
80,瑞士信贷将盖璞评级维持在弱于大盘,2020-03-13
81,瑞士信贷将Adobe评级维持在强于大盘,2020-03-13
82,Wedbush将Ansys评级维持在强于大盘,2020-03-13
83,Wedbush将Biohaven Pharma评级维持在强于大盘,2020-03-13
84,瑞士信贷将Slack Technologies评级维持在中性,2020-03-13
85,Wedbush将Corvus Pharmaceuticals评级维持在强于大盘,2020-03-13
86,H.C. Wainwright将Rubius Therapeutics评级维持在买进,2020-03-13
87,花旗集团将Oshkosh评级维持在买进,2020-03-13
88,花旗集团将United Rentals评级维持在买进,2020-03-13
89,德银将耐克公司评级从买进下调至持有,2020-03-13
90,花旗集团将Ulta Beauty评级维持在中性,2020-03-13
91,花旗集团将Silicon Laboratories评级维持在买进,2020-03-13
92,花旗集团将Spirit Airlines评级维持在买进,2020-03-13
93,花旗集团将派克汉尼汾公司评级维持在中性,2020-03-13
94,花旗集团将北美信托银行评级维持在中性,2020-03-13
95,花旗集团将Helmerich&Payne评级维持在中性,2020-03-13
96,花旗集团将Eaton Vance评级维持在中性,2020-03-13
97,花旗集团将迪尔公司评级维持在买进,2020-03-13
98,花旗集团将达美航空公司评级维持在买进,2020-03-13
99,花旗集团将CVR Energy评级维持在中性,2020-03-13
100,花旗集团将Cummins评级维持在买进,2020-03-13
101,花旗集团将Core Labs评级维持在中性,2020-03-13
102,花旗集团将卡特彼勒公司评级维持在买进,2020-03-13
103,花旗集团将贝莱德评级维持在买进,2020-03-13
104,花旗集团将贝克休斯评级维持在买进,2020-03-13
105,花旗集团将博通评级维持在买进,2020-03-13
106,Needham将Zuora评级从买进下调至持有,2020-03-13
107,花旗集团将Apergy评级维持在中性,2020-03-13
108,花旗集团将Artisan Partners Asset评级维持在买进,2020-03-13
109,花旗集团将Affiliated Managers评级维持在中性,2020-03-13
110,花旗集团将Allison Transmission评级维持在买进,2020-03-13
111,花旗集团将Adobe评级维持在中性,2020-03-13
112,Cowen&Co.将Adobe评级维持在与大盘一致,2020-03-13
113,富国银行将Marathon Petroleum评级维持在增持,2020-03-13
114,富国银行将HollyFrontier评级维持在中性,2020-03-13
115,富国银行将Ulta Beauty评级维持在中性,2020-03-13
116,B. Riley FBR将X4 Pharmaceuticals评级维持在买进,2020-03-13
117,富国银行将Phillips 66评级维持在增持,2020-03-13
118,B. Riley FBR将ViewRay评级维持在中性,2020-03-13
119,富国银行将派克汉尼汾公司评级维持在增持,2020-03-13
120,B. Riley FBR将Tilly's评级维持在买进,2020-03-13
121,富国银行将Valero Energy评级维持在增持,2020-03-13
122,B. Riley FBR将Select Interior Concepts评级维持在买进,2020-03-13
123,富国银行将Darden Restaurants评级维持在中性,2020-03-13
124,B. Riley FBR将QAD Inc评级维持在买进,2020-03-13
125,富国银行将Adobe评级维持在中性,2020-03-13
126,B. Riley FBR将PowerFleet评级维持在买进,2020-03-13
127,富国银行将Valaris评级从中性下调至减持,2020-03-13
128,富国银行将Transocean评级从增持下调至中性,2020-03-13
129,B. Riley FBR将Park-Ohio Holdings评级维持在中性,2020-03-13
130,富国银行将Tetra Technologies评级从增持下调至中性,2020-03-13
131,B. Riley FBR将MediciNova评级维持在买进,2020-03-13
132,B. Riley FBR将盖璞评级维持在中性,2020-03-13
133,富国银行将Noble Corp评级从中性下调至减持,2020-03-13
134,富国银行将九城集团评级从中性下调至减持,2020-03-13
135,富国银行将NCS Multistage评级从中性下调至减持,2020-03-13
136,B. Riley FBR将Farmland Partners评级维持在中性,2020-03-13
137,B. Riley FBR将Fortress Biotech评级维持在买进,2020-03-13
138,富国银行将Diamond Offshore评级从中性下调至减持,2020-03-13
139,B. Riley FBR将Arrowhead Pharmaceuticals评级维持在买进,2020-03-13
140,B. Riley FBR将Allena Pharmaceuticals评级维持在买进,2020-03-13
141,Raymond James将甲骨文公司评级维持在强于大盘,2020-03-13
142,Raymond James将Focus Financial Partners评级维持在强于大盘,2020-03-13
143,Raymond James将Dollar General评级维持在强烈建议买进,2020-03-13
144,Raymond James将Envestnet评级维持在强烈建议买进,2020-03-13
145,Raymond James将Bellicum Pharmaceuticals评级维持在强于大盘,2020-03-13
146,Raymond James将AssetMark Financial评级维持在强于大盘,2020-03-13
147,H.C. Wainwright将Tecogen评级维持在买进,2020-03-13
148,Cantor Fitzgerald将CymaBay Therapeutics评级从中性上调至增持,2020-03-13
149,H.C. Wainwright将Fuel Tech评级从买进下调至中性,2020-03-13
150,Needham将Lizhi评级维持在买进,2020-03-13
151,Rosenblatt将博通评级维持在买进,2020-03-13
152,贝雅将TransUnion评级从强于大盘下调至中性,2020-03-13
