Unnamed: 0,Finance company,Public company,Before,Operation,After,Date
0,0,0,买进,下调,持有,2020-03-14
1,0,1,买进,下调,持有,2020-03-14
2,0,2,买进,下调,持有,2020-03-14
3,0,3,买进,下调,持有,2020-03-14
4,1,4,持有,维持在,持有,2020-03-14
5,2,5,卖出,维持在,卖出,2020-03-14
6,2,6,持有,上调,买进,2020-03-14
7,2,7,卖出,上调,持有,2020-03-13
8,3,8,增持,维持在,增持,2020-03-13
9,3,9,减持,维持在,减持,2020-03-13
10,3,10,中性,维持在,中性,2020-03-13
11,3,11,中性,维持在,中性,2020-03-13
12,3,12,增持,维持在,增持,2020-03-13
13,3,13,中性,维持在,中性,2020-03-13
14,3,14,中性,维持在,中性,2020-03-13
15,3,15,中性,维持在,中性,2020-03-13
16,3,16,增持,下调,中性,2020-03-13
17,3,17,中性,维持在,中性,2020-03-13
18,3,18,增持,维持在,增持,2020-03-13
19,3,19,中性,维持在,中性,2020-03-13
20,3,20,增持,维持在,增持,2020-03-13
21,3,21,中性,维持在,中性,2020-03-13
22,4,22,中性,维持在,中性,2020-03-13
23,4,23,中性,维持在,中性,2020-03-13
24,5,24,买进,维持在,买进,2020-03-13
25,5,25,中性,上调,买进,2020-03-13
26,3,26,增持,维持在,增持,2020-03-13
27,3,27,中性,维持在,中性,2020-03-13
28,3,28,中性,维持在,中性,2020-03-13
29,6,29,中性,上调,增持,2020-03-13
30,7,30,强于大盘,维持在,强于大盘,2020-03-13
31,7,31,中性,维持在,中性,2020-03-13
32,7,23,强于大盘,维持在,强于大盘,2020-03-13
33,7,32,中性,上调,强于大盘,2020-03-13
34,7,33,强于大盘,维持在,强于大盘,2020-03-13
35,7,5,中性,维持在,中性,2020-03-13
36,2,34,买进,维持在,买进,2020-03-13
37,7,35,中性,维持在,中性,2020-03-13
38,7,36,强于大盘,维持在,强于大盘,2020-03-13
39,7,37,强于大盘,维持在,强于大盘,2020-03-13
40,7,20,强于大盘,维持在,强于大盘,2020-03-13
41,8,38,买进,维持在,买进,2020-03-13
42,8,39,买进,维持在,买进,2020-03-13
43,9,40,买进,维持在,买进,2020-03-13
44,9,23,持有,维持在,持有,2020-03-13
45,9,41,持有,维持在,持有,2020-03-13
46,9,42,买进,维持在,买进,2020-03-13
47,9,43,持有,维持在,持有,2020-03-13
48,9,44,持有,维持在,持有,2020-03-13
49,9,45,买进,维持在,买进,2020-03-13
50,9,46,买进,维持在,买进,2020-03-13
51,9,47,买进,维持在,买进,2020-03-13
52,10,30,买进,维持在,买进,2020-03-13
53,10,5,中性,维持在,中性,2020-03-13
54,11,48,卖出,维持在,卖出,2020-03-13
55,11,23,买进,维持在,买进,2020-03-13
56,11,49,买进,维持在,买进,2020-03-13
57,11,50,中性,维持在,中性,2020-03-13
58,11,51,中性,维持在,中性,2020-03-13
59,2,23,买进,维持在,买进,2020-03-13
60,11,52,中性,维持在,中性,2020-03-13
61,12,50,增持,维持在,增持,2020-03-13
62,11,53,买进,维持在,买进,2020-03-13
63,11,54,卖出,维持在,卖出,2020-03-13
64,12,30,增持,维持在,增持,2020-03-13
65,12,55,增持,维持在,增持,2020-03-13
66,11,56,中性,维持在,中性,2020-03-13
67,12,57,增持,维持在,增持,2020-03-13
68,11,58,买进,维持在,买进,2020-03-13
69,11,59,买进,维持在,买进,2020-03-13
70,11,60,中性,维持在,中性,2020-03-13
71,11,61,买进,维持在,买进,2020-03-13
72,11,20,买进,维持在,买进,2020-03-13
73,13,50,强于大盘,维持在,强于大盘,2020-03-13
74,11,62,中性,维持在,中性,2020-03-13
75,11,47,买进,维持在,买进,2020-03-13
76,11,63,买进,下调,中性,2020-03-13
77,13,38,强于大盘,维持在,强于大盘,2020-03-13
78,13,64,强于大盘,维持在,强于大盘,2020-03-13
79,11,65,买进,下调,中性,2020-03-13
80,13,5,弱于大盘,维持在,弱于大盘,2020-03-13
81,13,47,强于大盘,维持在,强于大盘,2020-03-13
82,14,66,强于大盘,维持在,强于大盘,2020-03-13
83,14,67,强于大盘,维持在,强于大盘,2020-03-13
84,13,30,中性,维持在,中性,2020-03-13
85,14,68,强于大盘,维持在,强于大盘,2020-03-13
86,15,16,买进,维持在,买进,2020-03-13
87,16,69,买进,维持在,买进,2020-03-13
88,16,70,买进,维持在,买进,2020-03-13
89,0,71,买进,下调,持有,2020-03-13
90,16,23,中性,维持在,中性,2020-03-13
91,16,72,买进,维持在,买进,2020-03-13
92,16,73,买进,维持在,买进,2020-03-13
93,16,33,中性,维持在,中性,2020-03-13
94,16,74,中性,维持在,中性,2020-03-13
95,16,75,中性,维持在,中性,2020-03-13
96,16,76,中性,维持在,中性,2020-03-13
97,16,77,买进,维持在,买进,2020-03-13
