,Finance company,Public company,Before,Operation,After,Date
0,德银,RalphLauren,买进,下调,持有,2020-03-14
1,德银,FootLocker,买进,下调,持有,2020-03-14
2,德银,Tapestry,买进,下调,持有,2020-03-14
3,德银,CapriHoldings,买进,下调,持有,2020-03-14
4,CanaccordGenuity,SenseonicsHoldings,持有,维持在,持有,2020-03-14
5,CFRA,盖璞,卖出,维持在,卖出,2020-03-14
6,CFRA,安进公司,持有,上调,买进,2020-03-14
7,CFRA,EdwardsLifesciences,卖出,上调,持有,2020-03-13
8,摩根士丹利,WisdomTreeInvestments,增持,维持在,增持,2020-03-13
9,摩根士丹利,Waddell&Reed,减持,维持在,减持,2020-03-13
10,摩根士丹利,VirtusInvestPartners,中性,维持在,中性,2020-03-13
11,摩根士丹利,VictoryCapital,中性,维持在,中性,2020-03-13
12,摩根士丹利,黑石集团,增持,维持在,增持,2020-03-13
13,摩根士丹利,德美利证券,中性,维持在,中性,2020-03-13
14,摩根士丹利,LPLFinancialHoldings,中性,维持在,中性,2020-03-13
15,摩根士丹利,KKR&Co.,中性,维持在,中性,2020-03-13
16,摩根士丹利,RubiusTherapeutics,增持,下调,中性,2020-03-13
17,摩根士丹利,DocuSign,中性,维持在,中性,2020-03-13
18,摩根士丹利,嘉信理财集团,增持,维持在,增持,2020-03-13
19,摩根士丹利,凯雷投资集团,中性,维持在,中性,2020-03-13
20,摩根士丹利,博通,增持,维持在,增持,2020-03-13
21,摩根士丹利,BrightSphereInvestment,中性,维持在,中性,2020-03-13
22,野村证券,AristaNetworks,中性,维持在,中性,2020-03-13
23,野村证券,UltaBeauty,中性,维持在,中性,2020-03-13
24,Sidoti&Co.,SpartanMotors,买进,维持在,买进,2020-03-13
25,Sidoti&Co.,ParTechnology,中性,上调,买进,2020-03-13
26,摩根士丹利,贝莱德,增持,维持在,增持,2020-03-13
27,摩根士丹利,AresManagement,中性,维持在,中性,2020-03-13
28,摩根士丹利,ApolloGlobalManagement,中性,维持在,中性,2020-03-13
29,Stephens&Co.,RE/MAXHoldings,中性,上调,增持,2020-03-13
30,贝雅,SlackTechnologies,强于大盘,维持在,强于大盘,2020-03-13
31,贝雅,Zumiez,中性,维持在,中性,2020-03-13
32,贝雅,UltaBeauty,强于大盘,维持在,强于大盘,2020-03-13
33,贝雅,PierisPharmaceuticals,中性,上调,强于大盘,2020-03-13
34,贝雅,派克汉尼汾公司,强于大盘,维持在,强于大盘,2020-03-13
35,贝雅,盖璞,中性,维持在,中性,2020-03-13
36,CFRA,Semtech,买进,维持在,买进,2020-03-13
37,贝雅,Genesco,中性,维持在,中性,2020-03-13
38,贝雅,HomologyMedicines,强于大盘,维持在,强于大盘,2020-03-13
39,贝雅,卡特彼勒公司,强于大盘,维持在,强于大盘,2020-03-13
40,贝雅,博通,强于大盘,维持在,强于大盘,2020-03-13
41,ArgusResearch,华特迪士尼公司,买进,维持在,买进,2020-03-13
42,ArgusResearch,Wayfair,买进,维持在,买进,2020-03-13
43,Stifel,WesternMidstreamPtrs,买进,维持在,买进,2020-03-13
44,Stifel,UltaBeauty,持有,维持在,持有,2020-03-13
45,Stifel,TargaResources,持有,维持在,持有,2020-03-13
46,Stifel,Oneok,买进,维持在,买进,2020-03-13
47,Stifel,MonarchCasino,持有,维持在,持有,2020-03-13
48,Stifel,EPRProperties,持有,维持在,持有,2020-03-13
49,Stifel,DentsplySirona,买进,维持在,买进,2020-03-13
50,Stifel,AlignTechnology,买进,维持在,买进,2020-03-13
51,Stifel,Adobe,买进,维持在,买进,2020-03-13
52,MKMPartners,SlackTechnologies,买进,维持在,买进,2020-03-13
53,MKMPartners,盖璞,中性,维持在,中性,2020-03-13
54,瑞银,WestlakeChemical,卖出,维持在,卖出,2020-03-13
55,瑞银,UltaBeauty,买进,维持在,买进,2020-03-13
56,瑞银,标普全球,买进,维持在,买进,2020-03-13
57,瑞银,甲骨文公司,中性,维持在,中性,2020-03-13
58,瑞银,OlinCorp,中性,维持在,中性,2020-03-13
59,CFRA,UltaBeauty,买进,维持在,买进,2020-03-13
60,瑞银,MSCI明晟,中性,维持在,中性,2020-03-13
61,富国银行,甲骨文公司,增持,维持在,增持,2020-03-13
62,瑞银,美盛公司,买进,维持在,买进,2020-03-13
63,瑞银,Methanex,卖出,维持在,卖出,2020-03-13
64,富国银行,SlackTechnologies,增持,维持在,增持,2020-03-13
65,富国银行,Medallia,增持,维持在,增持,2020-03-13
66,瑞银,美国西南航空,中性,维持在,中性,2020-03-13
67,富国银行,KezarLifeSciences,增持,维持在,增持,2020-03-13
68,瑞银,ExpediaGroup,买进,维持在,买进,2020-03-13
69,瑞银,陶氏化学公司,买进,维持在,买进,2020-03-13
70,瑞银,达美航空公司,中性,维持在,中性,2020-03-13
71,瑞银,CFIndustries,买进,维持在,买进,2020-03-13
72,瑞银,博通,买进,维持在,买进,2020-03-13
73,瑞士信贷,甲骨文公司,强于大盘,维持在,强于大盘,2020-03-13
74,瑞银,AlaskaAirGroup,中性,维持在,中性,2020-03-13
75,瑞银,Adobe,买进,维持在,买进,2020-03-13
76,瑞银,美国联合大陆控股有限公司,买进,下调,中性,2020-03-13
77,瑞士信贷,华特迪士尼公司,强于大盘,维持在,强于大盘,2020-03-13
78,瑞士信贷,康卡斯特,强于大盘,维持在,强于大盘,2020-03-13
79,瑞银,JetBlue,买进,下调,中性,2020-03-13
80,瑞士信贷,盖璞,弱于大盘,维持在,弱于大盘,2020-03-13
81,瑞士信贷,Adobe,强于大盘,维持在,强于大盘,2020-03-13
82,Wedbush,Ansys,强于大盘,维持在,强于大盘,2020-03-13
83,Wedbush,BiohavenPharma,强于大盘,维持在,强于大盘,2020-03-13
84,瑞士信贷,SlackTechnologies,中性,维持在,中性,2020-03-13
85,Wedbush,CorvusPharmaceuticals,强于大盘,维持在,强于大盘,2020-03-13
86,H.C.Wainwright,RubiusTherapeutics,买进,维持在,买进,2020-03-13
87,花旗集团,Oshkosh,买进,维持在,买进,2020-03-13
88,花旗集团,UnitedRentals,买进,维持在,买进,2020-03-13
89,德银,耐克公司,买进,下调,持有,2020-03-13
90,花旗集团,UltaBeauty,中性,维持在,中性,2020-03-13
91,花旗集团,SiliconLaboratories,买进,维持在,买进,2020-03-13
92,花旗集团,SpiritAirlines,买进,维持在,买进,2020-03-13
93,花旗集团,派克汉尼汾公司,中性,维持在,中性,2020-03-13
94,花旗集团,北美信托银行,中性,维持在,中性,2020-03-13
95,花旗集团,Helmerich&Payne,中性,维持在,中性,2020-03-13
96,花旗集团,EatonVance,中性,维持在,中性,2020-03-13
97,花旗集团,迪尔公司,买进,维持在,买进,2020-03-13
98,花旗集团,达美航空公司,买进,维持在,买进,2020-03-13
99,花旗集团,CVREnergy,中性,维持在,中性,2020-03-13
100,花旗集团,Cummins,买进,维持在,买进,2020-03-13
101,花旗集团,CoreLabs,中性,维持在,中性,2020-03-13
102,花旗集团,卡特彼勒公司,买进,维持在,买进,2020-03-13
103,花旗集团,贝莱德,买进,维持在,买进,2020-03-13
104,花旗集团,贝克休斯,买进,维持在,买进,2020-03-13
105,花旗集团,博通,买进,维持在,买进,2020-03-13
106,Needham,Zuora,买进,下调,持有,2020-03-13
107,花旗集团,Apergy,中性,维持在,中性,2020-03-13
108,花旗集团,ArtisanPartnersAsset,买进,维持在,买进,2020-03-13
109,花旗集团,AffiliatedManagers,中性,维持在,中性,2020-03-13
110,花旗集团,AllisonTransmission,买进,维持在,买进,2020-03-13
111,花旗集团,Adobe,中性,维持在,中性,2020-03-13
112,Cowen&Co.,Adobe,与大盘一致,维持在,与大盘一致,2020-03-13
113,富国银行,MarathonPetroleum,增持,维持在,增持,2020-03-13
114,富国银行,HollyFrontier,中性,维持在,中性,2020-03-13
115,富国银行,UltaBeauty,中性,维持在,中性,2020-03-13
116,B.RileyFBR,X4Pharmaceuticals,买进,维持在,买进,2020-03-13
117,富国银行,Phillips66,增持,维持在,增持,2020-03-13
118,B.RileyFBR,ViewRay,中性,维持在,中性,2020-03-13
119,富国银行,派克汉尼汾公司,增持,维持在,增持,2020-03-13
120,B.RileyFBR,Tilly's,买进,维持在,买进,2020-03-13
121,富国银行,ValeroEnergy,增持,维持在,增持,2020-03-13
122,B.RileyFBR,SelectInteriorConcepts,买进,维持在,买进,2020-03-13
123,富国银行,DardenRestaurants,中性,维持在,中性,2020-03-13
124,B.RileyFBR,QADInc,买进,维持在,买进,2020-03-13
125,富国银行,Adobe,中性,维持在,中性,2020-03-13
126,B.RileyFBR,PowerFleet,买进,维持在,买进,2020-03-13
127,富国银行,Valaris,中性,下调,减持,2020-03-13
128,富国银行,Transocean,增持,下调,中性,2020-03-13
129,B.RileyFBR,Park-OhioHoldings,中性,维持在,中性,2020-03-13
130,富国银行,TetraTechnologies,增持,下调,中性,2020-03-13
131,B.RileyFBR,MediciNova,买进,维持在,买进,2020-03-13
132,B.RileyFBR,盖璞,中性,维持在,中性,2020-03-13
133,富国银行,NobleCorp,中性,下调,减持,2020-03-13
134,富国银行,九城集团,中性,下调,减持,2020-03-13
135,富国银行,NCSMultistage,中性,下调,减持,2020-03-13
136,B.RileyFBR,FarmlandPartners,中性,维持在,中性,2020-03-13
137,B.RileyFBR,FortressBiotech,买进,维持在,买进,2020-03-13
138,富国银行,DiamondOffshore,中性,下调,减持,2020-03-13
139,B.RileyFBR,ArrowheadPharmaceuticals,买进,维持在,买进,2020-03-13
140,B.RileyFBR,AllenaPharmaceuticals,买进,维持在,买进,2020-03-13
141,RaymondJames,甲骨文公司,强于大盘,维持在,强于大盘,2020-03-13
142,RaymondJames,FocusFinancialPartners,强于大盘,维持在,强于大盘,2020-03-13
143,RaymondJames,DollarGeneral,强烈建议买进,维持在,强烈建议买进,2020-03-13
144,RaymondJames,Envestnet,强烈建议买进,维持在,强烈建议买进,2020-03-13
145,RaymondJames,BellicumPharmaceuticals,强于大盘,维持在,强于大盘,2020-03-13
146,RaymondJames,AssetMarkFinancial,强于大盘,维持在,强于大盘,2020-03-13
147,H.C.Wainwright,Tecogen,买进,维持在,买进,2020-03-13
148,CantorFitzgerald,CymaBayTherapeutics,中性,上调,增持,2020-03-13
149,H.C.Wainwright,FuelTech,买进,下调,中性,2020-03-13
150,Needham,Lizhi,买进,维持在,买进,2020-03-13
151,Rosenblatt,博通,买进,维持在,买进,2020-03-13
152,贝雅,TransUnion,强于大盘,下调,中性,2020-03-13
153,BTIGResearch,ViewRay,买进,下调,中性,2020-03-13
154,Needham,WorldWrestling,买进,维持在,买进,2020-03-13
155,Needham,AsureSoftware,买进,维持在,买进,2020-03-13
156,Needham,SiliconLaboratories,买进,维持在,买进,2020-03-13
157,德银,VivintSmartHome,持有,下调,卖出,2020-03-13
158,贝雅,Fastenal,中性,上调,强于大盘,2020-03-13
159,WilliamBlair,思杰系统公司,与大盘一致,上调,强于大盘,2020-03-13
160,ImperialCapital,NorthernOil,强于大盘,维持在,强于大盘,2020-03-13
161,ImperialCapital,EarthstoneEnergy,强于大盘,维持在,强于大盘,2020-03-13
162,KeyBanc,WECEnergyGroup,与类股一致,上调,增持,2020-03-13
163,KeyBanc,SempraEnergy,增持,下调,与类股一致,2020-03-13
164,KeyBanc,Park-OhioHoldings,增持,维持在,增持,2020-03-13
165,KeyBanc,OtterTail,增持,下调,与类股一致,2020-03-13
166,高盛,卡夫亨氏公司,卖出,上调,中性,2020-03-13
